John,21,4,"But when the morning was nowe come, Iesus stoode on the shore: neuerthelesse the disciples knewe not that it was Iesus."
John,21,5,"Iesus then said vnto them, Syrs, haue ye any meate? They answered him, No."
John,21,6,"Then he said vnto them, Cast out the net on the right side of the ship, and ye shall finde. So they cast out, and they were not able at all to draw it, for the multitude of fishes."
John,21,7,"Therefore said the disciple whom Iesus loued, vnto Peter, It is the Lord. When Simon Peter heard that it was the Lord, he girded his coate to him (for he was naked) and cast himselfe into the sea."
John,21,8,"But the other disciples came by shippe (for they were not farre from land, but about two hundreth cubites) and they drewe the net with fishes."
John,21,9,"Assoone then as they were come to land, they sawe hoate coales, and fish laide thereon, and bread."
John,21,10,"Iesus saide vnto them, Bring of the fishes, which ye haue nowe caught."
John,21,11,"Simon Peter stepped foorth and drewe the net to land, full of great fishes, an hundreth, fiftie and three: and albeit there were so many, yet was not the net broken."
John,21,12,"Iesus saide vnto them, Come, and dine. And none of the disciples durst aske him, Who art thou? seeing they knewe that he was the Lord."
John,21,13,"Iesus then came and tooke bread, and gaue them, and fish likewise."
John,21,14,"This is now the third time that Iesus shewed himselfe to his disciples, after that he was risen againe from the dead."
John,21,15,"So when they had dined, Iesus said to Simon Peter, Simon the sonne of Iona, louest thou me more then these? He said vnto him, Yea Lord, thou knowest that I loue thee. He said vnto him, Feede my lambes."
John,21,16,"He said to him againe the second time, Simon the sonne of Iona, louest thou me? He said vnto him, Yea Lord, thou knowest that I loue thee. He said vnto him, Feede my sheepe."
John,21,17,"He said vnto him the third time, Simon the sonne of Iona, louest thou me? Peter was sorie because he said to him the third time, Louest thou me? and said vnto him, Lord, thou knowest all things: thou knowest that I loue thee. Iesus saide vnto him, Feede my sheepe."
John,21,18,"Verely, verely I say vnto thee, When thou wast yong, thou girdedst thy selfe, and walkedst whither thou wouldest: but when thou shalt be olde, thou shalt stretch foorth thine hands, and another shall gird thee, and lead thee whither thou wouldest not."
John,21,19,"And this spake he signifying by what death he shoulde glorifie God. And when he had said this, he said to him, Folowe me."
John,21,20,"Then Peter turned about, and sawe the disciple whom JESUS loued, folowing, which had also leaned on his breast at supper, and had saide, Lord, which is he that betrayeth thee?"
John,21,21,"When Peter therefore sawe him, he saide to Iesus, Lord, what shall this man doe?"
John,21,22,"Iesus said vnto him, If I will that he tarie till I come, what is it to thee? follow thou me."
John,21,23,"Then went this worde abroade among the brethren, that this disciple shoulde not die. Yet Iesus saide not to him, He shall not die: but if I will that he tarie till I come, what is it to thee?"
John,21,24,"This is that disciple, which testifieth of these things, and wrote these things, and we know that his testimonie is true."
John,21,25,"Nowe there are also many other things which Iesus did, the which if they should be written euery one, I suppose the world coulde not conteine the bookes that shoulde be written, Amen."
